age,annual_income,monthly_expense,chequing_balance,savings_balance,is_home_owner,is_student,occupation,investment_risk_profile,debt_amount,has_credit_card,tfsa_limit,tfsa_invested,fhsa_limit,fhsa_invested,rrsp_limit,rrsp_invested,unregistered_balance,financial_goals,financial_success
39,75673.94,677.58,12556.55,36208.57,True,False,Unemployed,High,68864.48,True,147000,109186.22,36154.45,7260.74,48760.35,8795.55,41946.48,"['pay_off_debt', 'invest_for_retirement']",0.6857142857142857
24,75769.83,3910.33,5625.24,33321.93,False,True,Part-Time,High,52012.96,True,42000,12313.2,3781.55,36893.72,25800.58,37615.23,23061.66,['invest_for_retirement'],0.42857142857142855
51,69499.32,4952.1,6063.36,24637.08,False,False,Self-Employed,High,0.0,True,231000,42406.15,31642.94,32901.37,28138.01,32395.62,5177.48,[],0.5428571428571428
45,99401.7,2322.72,2975.1,22036.77,True,False,Retired,High,0.0,True,189000,38990.97,4545.97,11038.19,19258.89,37692.25,16842.16,"['buy_a_home', 'invest_for_retirement']",0.7142857142857143
22,109555.13,4065.48,17280.47,49975.28,True,True,Unemployed,High,0.0,True,28000,33475.18,20860.62,24859.21,36763.79,1082.18,41463.19,"['buy_a_home', 'pay_off_debt', 'invest_for_retirement']",0.4857142857142857
56,91025.33,2339.68,15055.6,38190.9,True,False,Retired,High,41217.78,True,266000,141373.38,831.92,15209.62,11244.45,7637.3,85810.51,"['pay_off_debt', 'buy_a_home']",0.6285714285714286
28,109188.55,4259.45,8987.12,20267.31,True,False,Self-Employed,Low,9648.27,True,70000,51276.29,2587.87,27062.36,11895.44,44073.82,14784.0,"['pay_off_debt', 'buy_a_home', 'invest_for_retirement']",0.6571428571428571
39,51948.94,2159.31,2268.18,47639.41,False,False,Retired,Medium,0.0,True,147000,747.07,20656.18,10799.74,14149.48,22770.61,16798.59,"['invest_for_retirement', 'pay_off_debt', 'buy_a_home']",0.6857142857142857
34,42127.47,958.29,11963.68,26820.62,True,False,Unemployed,High,69548.58,True,112000,104048.01,27341.82,36977.41,29438.95,29213.3,33012.99,['pay_off_debt'],0.5428571428571428
83,73602.68,1707.59,2762.36,2153.23,False,False,Employed,High,0.0,True,455000,490314.51,14135.18,34020.95,29237.12,48711.18,33418.24,"['pay_off_debt', 'buy_a_home']",0.42857142857142855
65,54488.01,702.81,2881.47,1244.41,True,False,Self-Employed,Low,0.0,True,329000,284525.66,9708.22,23913.8,916.7,2573.44,48917.7,[],0.6857142857142857
23,112036.66,4424.06,5467.56,11672.08,True,False,Employed,High,0.0,False,35000,41391.72,6615.63,25317.16,21432.62,33257.01,75157.3,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.45714285714285713
36,70017.82,4338.55,12312.23,45143.28,False,False,Employed,Low,0.0,True,126000,60727.97,848.37,35064.8,29305.21,32845.83,91402.67,"['pay_off_debt', 'buy_a_home']",0.4
24,102949.67,1088.54,5114.88,34200.58,True,True,Unemployed,Medium,0.0,True,42000,2377.74,12022.13,23083.82,12026.43,48476.33,74891.01,"['buy_a_home', 'invest_for_retirement']",0.4857142857142857
60,33221.85,3669.6,12066.12,1247.93,True,False,Unemployed,High,71636.3,True,294000,143975.6,31464.56,39378.46,46501.76,4921.28,39235.57,"['invest_for_retirement', 'buy_a_home', 'pay_off_debt']",0.37142857142857144
29,60037.15,1971.38,8545.48,26042.31,False,True,Part-Time,Medium,12412.58,True,77000,41676.59,15945.56,36693.49,32255.56,39856.87,5510.44,"['invest_for_retirement', 'buy_a_home']",0.5714285714285714
53,102330.88,4934.74,14151.49,26748.81,False,False,Unemployed,Medium,69079.71,True,245000,197716.23,37871.84,26317.17,22900.4,39962.91,86497.34,"['pay_off_debt', 'invest_for_retirement']",0.6285714285714286
29,35456.2,4588.93,14709.71,27743.37,False,False,Retired,Medium,1011.85,False,77000,55495.05,35908.06,33478.89,28100.89,3444.32,53016.2,['invest_for_retirement'],0.7142857142857143
33,39861.37,1869.34,8356.94,32668.91,True,True,Unemployed,Medium,0.0,True,105000,65620.79,36106.19,3196.92,34529.78,7807.65,22605.01,['invest_for_retirement'],0.76
29,39619.29,3294.15,16647.72,10668.81,False,True,Unemployed,Medium,0.0,True,77000,15586.71,38946.42,33517.55,31094.98,40136.43,51935.04,"['pay_off_debt', 'buy_a_home', 'invest_for_retirement']",0.6285714285714286
53,141941.58,3559.64,6865.27,48166.76,True,False,Employed,High,0.0,True,245000,168430.95,17435.93,4295.66,12140.44,17898.45,79963.03,['invest_for_retirement'],0.7142857142857143
40,97022.46,2132.2,5013.88,5193.0,False,False,Employed,Medium,0.0,True,154000,43109.99,33312.04,16440.58,37332.53,5901.95,24458.02,"['invest_for_retirement', 'buy_a_home', 'pay_off_debt']",0.8857142857142857
59,63793.14,716.68,4782.24,48451.05,True,False,Unemployed,Low,11340.12,True,287000,336306.0,3389.86,31878.33,10413.04,3282.45,74505.95,"['pay_off_debt', 'buy_a_home']",0.6
39,31564.51,4381.81,15416.78,25779.45,False,False,Self-Employed,Medium,0.0,True,147000,19094.16,31041.14,36535.19,17621.35,21079.66,74144.51,['pay_off_debt'],0.4857142857142857
62,64391.09,3844.09,8858.05,16315.18,True,False,Self-Employed,Medium,0.0,True,308000,231840.12,35520.73,1724.85,5282.59,30640.7,54486.61,['invest_for_retirement'],0.6857142857142857
22,105962.13,1224.18,19177.72,34830.53,False,True,Unemployed,High,1176.89,True,28000,21929.78,35497.4,14501.05,42433.55,41168.42,76380.94,[],0.7714285714285715
23,80528.83,1229.39,4567.12,40678.47,True,True,Part-Time,Low,12140.26,True,35000,10336.63,8199.43,29931.11,27288.81,16944.04,88399.27,[],0.6285714285714286
